Location,Country,Division,About1,About2,Description,AddressText,AddressTitle,Address
Hegyeshalom,Hungary,Vision Systems,"Welcome to SMR Mosonmagyaróvár 
Originally two separate towns, Moson and Magyaróvár we combined in 1939 to form the city of Mosonmagyaróvár.  The city's historic Baroque buildings, narrow streets, and wooden bridges make Mosonmagyaróvár a picturesque tourist destination.

In addition to its thermal water and thermal baths, Mosonmagyaróvár offers various watersport options for visitors including kayaking, canoeing, and fishing as well as cycling.
SMR Hungary is one of Hungary's leading employers, and is the premier rear-view mirror manufacturer in Hungary. Founded in 2011, SMR is the largest employer in Mosonmagyaróvár, with an energetic, young, and diverse workforce of approximately 700 employees. SMR Hungary values the development of our employees and places an emphasis on developing & promoting talent from within by utilizing training programs and coaching (both internal and external). Come join our team and work in a positive and welcoming atmosphere.
In Hungary our manufacturing plants in Mosonszolnok, Mosonmagyaróvár and our Central Warehouse in Hegyeshalom are close to each other. Commuting to the plants is easy as these locations  are next to the M1 highway.  ","We have sevaral CSR program, that we organize regularly. Charity day, Playground renovation, Bycicle day, Hospital Charity, we support disadvantaged families/children. ","Please use the same text, for Mosonmagyaróvár, Mosonszolnok, and Hegyeshalom  ",,,
Hérouville,France,Modules and Polymers,"With a young population, numerous cultural assets enriched by a social mix of different cultures, dynamic economic centers, Herouville has exceptional assets to pursue its development and allow a  ""better living together"".",NA,"Hérouville-Saint-Clair is a town located in north-east of Caen. It is 12 km from the sea and has a population of 23,000 inhabitants. In the 1960's, the city became more dynamic, leading to an explosion of the population, which is multiplied by thirteen. The metallic Hérouville-Saint-Clair water tower has become the emblem of the new town.
It has a remarkable architectural heritage with beautiful buildings such as the park and the castle of Beauregard, the farm of the Roque or the ""soft citadel"", the Petit Lourdes or the Saint-Vincent chapel, classified as a historical monument.
Its unmissable events are the Beauregard Festival and the community festival.",,,"Rue de la Darse
14200 Hérouville Saint Clair
France"
Hornell,US,Wiring Harness,"The Hornell location is located in a quaint city with local shops, restaurants, wineries, and the finger lakes.  Hornell is just south of the finger lakes which provide beauty and entertainment year round.  The lakes are known for their wineries and fine dining.  There are plenty of outdoor adventures allowing you to enjoy amenaties of a city while being able to enjoy the peace of nature. ","Every year ATM participates in activites that give back to the commmunity, sucha as volunteering with the United Way, and supporting local groups and charaties. ","Hornell is a city located in upstate NY, the city is known for its long history of the rail industry, with four rail lines dating back to 1845. Hornell was a main contributer, a hub for connecting upstate New York and Pennsylvania to New York City.  Hornell became prosperous in the 1800's becuase of the contributions to the railroad, including train repairs, .  Today Hornell has managed to radiate a quaint, homey aura, by being  surrounded by rolling hills, and located near the Finger Lakes.",,"Hornell, USA - PKC Group - Wiring Harness","7200 County Route 70A
Hornell, New York 14843
United States"
Huehuetoca,MEX,Wiring Harness,"Huehuetoca is a town close to ecotourism parks, such as the Zumpango Lagoon, Xochitla Ecological Park and the Tepotzotlan Magic Village.

Economic sectors that provide employment opportunities with manufacturing, storage and retail
","MRS works with the Social Organization, developing socio-emotional skills in women, older adults and young people. FUNAET and has conducted a campaign to donate furniture, pantries and toys to the communities as well as an internship opportunity for engineering students"," Located in the State of Mexico, Huehuetoca is one of the 125 municipalities that make up the entity. Its municipal seat is Huehuetoca and is part of the  Zumpango Region.
According to data from the last INEGI census (2020), Huehuetoca is home to 163.244 people, with 83.228 women and 80.016 men.
The municipal seat of Huehuetoca is located at the geographic coordinates of 99°12’12” Or longitude and 19°50’03” N latitude. The municipality of Huehuetoca is located at an altitude of 2.260 msnm","Conalep Cuautitlan, UNAM Campus 4, UAEMEX Universidad Autonoma del Estado de México",,"MRS, KM 30Highway Huehuetoca
ApaxcoS/N, Barranca Prieta
Huehuetoca
Mexico"
Igualada,Spain,Modules and Polymers," Igualada is quite famous in the area for the European Balloon Festival that takes place every July. It is the most important hot air balloon festival in Spain and Southern Europe.Another great festival is the Rec.0 Experimental Stores is the ephemeral transformation of the old textile industrial neighborhood, Twice a year, and for four days only, the old factories and tanneries become fashion pop-up stores where top-level brands sell their stocks and samples at unique prices. Rec.0 is not only fashion, it is more. Rec Street Food, a gastro festival with 32 food trucks and pop up. On the other hand, culture and especially music also have their space with the Rec Music Festival, with the programming of fifteen concerts on two stages.","-Donations toys for Christmas
-Collaboration with organizations of workers with labor insertion problems....","SMRC is located in a municipality called Igualada, 57 km from Barcelona. It has a population of 40,875 habitants and its main activities are the textile, paper and leather manufacturing industries, even if automotive industry is also one of the main activities with other automotive suppliers like NOVARES or SNOP.

Barcelona is a city with a wide range of original leisure options that encourage you to visit time and time again. Overlooking the Mediterranean Sea, and famous for Gaudí and other Art Nouveau architecture, Barcelona is one of Europe’s trendiest cities.

It is a hub of new trends in the world of culture, fashion and cuisine. It combines the creativity of its artists and designers with respect and care for local traditions. The charm and slower pace of the old town, the avant-garde vibe of more modern neighborhoods, and the fast pace of one of the world’s most visited cities coexist in Barcelona.

","
Collaboration with the Igualada University of Engineering, in carrying out internships for students",,"C/Francia, 15 Pol. Ind.Les Comes. 
08700 Igualada - Barcelona 
Cataluna
Spain"
Ingolstadt,Germany,Modules and Polymers,SMP is located in the Ingolstadt freight village where it operates  a module centre for assembling door panels for Audi. Join our team and help us shape world class vehicles with our products. ,,"A university city with historical charm
With a population of 130,000, the university city of Ingolstadt is the 4th biggest city in Bavaria. The headquarters of Audi are located here, along with the company’s largest production plant.
The city also offers a wide range of attractive places of interest such as fascinating museums and historical buildings, as well as excellent bars, clubs and restaurants. For bargain hunters, Ingolstadt offers a huge shopping area with around 100 outlet shops selling a wide range of famous brands.",,,"GVZ Halle G
Pascalstraße 2
85057 Ingolstadt
Germany"
Istanbul,Turkey,Vision Systems,"Tuzla is a municipality of the province in İstanbul on the Asia side. It is both close to the city centre and to the cities around it. Since it is a seaport and located in İstanbul there are many activities and opportunities available. Relaxing on the beaches of İstanbul, visiting museum and art galaries.",,"Tuzla is an industrial zone in İstanbul located in Asia side and an important location for logistics with its ports. İstanbul is a metropolitan city in Turkey serving the country's economic, cultural and historic hub. The city straddles the Bosporus strait, lying in both Europe and Asia.                                                                                                                            The city has the one of the largest economy and holds the 30 percent of Turkey's industrial output.  İstanbul is a strategically important city for various industries such as automotive, tourism and shipping etc.",,,"Aydınlı
Anadolu Yakası OSB
Sanayi Caddesi No:14
34953 Aydınlı
İstanbul Ay Osb/Tuzla/İstanbul
Turkey"
Jaguariuna,Brazil,Vision Systems,,"SMR has been a reference in the region in volunteer programs for the last 10 years. Through our volunteer committee, we seek to meet the main needs of our local community and promote monthly actions. At the beginning of the year, we set up a calendar of all actions and throughout the year, we apply these activities. Our volunteer committee also invites our family members to be part of the actions, as we believe we can engage everyone and make bigger changes.
Our program also has the objective of build a team of volunteers who are passionate about what they do, who are proud of the actions and committed to always thinking about new actions.
",Info available on SMR website under current location descriptions,"Motherson Journey program aims to develop apprentices and interns, while working with local schools and colleges to recruit and train youth in the local area. The program seeks to provide opportunities for young people in the community, so they can have a new opportunity in their personal and professional lives. Young apprentices are challenged monthly to lead projects, receiving monthly training by our internal employees.

Mother, Sons and Daughters Program that aims to welcome Motherson families on a new journey, which is motherhood or fatherhood. Program participants, whether fathers or mothers, have access to educational content with information and explanations about the stages of pregnancy, common complaints with newborn babies, basic care in early life, aspects of responsible parenthood, dietary care, relaxation techniques for pregnant women and parents,, body care and guidance on motherhood/ fatherhood, through the Motherson APP. The program also aims to monitor and ensure through monthly monitoring that babies are receiving adequate care, such as First Aid and breastfeeding. Within the program we work on with diversity theme, when we consider and talk about the different family formats that we have.

The Motherson Health Program encourages our employees to take better care of their health and also encourage better habits for their families. The program seeks to encourage the practice of physical exercises through partnerships with futsal academies and practical sporting events, but we also encourage care for the mental health of each employee with specific training and a ""Mental Health Booklet"". We also have a cafeteria through nutritional monitoring in the preparation of our menus and in the preparation of special diets for employees with professional nutritional food.",,"Av. Pacífico Moneda, 3360 - Capotuna
Jaguariúna - SP
13820-000
Brazil"
Kaluga,Russia,Modules and Polymers,N/A,N/A,N/A,N/A,,
Kecskemét,Hungary,Modules and Polymers,SMP in Kecskemét is a very young plant and one of the most modern of its kind in Hungary. It has more than a 1000 employees. Our motto is: ’One way. One goal. One team.’ Join our team and help us to shape world class vehicles with our products.,,"Industry, culture and nature in the heart of Hungary
Kecskemét is a fusion of all of the beauty and values of the Great Plain, one hour south of Budapest in the heart of Hungary. The city, which has a history that goes back more than 600 years, has developed into the economic, administrative, educational and cultural centre of the region.
Kecskemét is one of Hungary's most dynamically developing cities. Besides its growing population, its development is reflected by an unemployment rate that has fallen from year to year. This spectacular boom can be put down to industrial developments. In 2012 Kecskemét and its region was declared as a centre for vehicle engineering. The automotive industry is one of the most important industrial sectors in the region. Good infrastructure, a good workforce and geographical advantages have attracted numerous companies such as SMP to settle here.",,,"Barényi Béla utca 1
6000 Kecskemét
Hungary"
Klaipėda,Lithuania,Wiring Harness,"Population about 160 thousand people.Here, there is no shortage of cafes, bars and nightclubs, during the summer concerts, festivals and other entertainment events are held. However, families with children, quiet recreation and culture lovers can spend leisure time purposefully in Klaipeda. There are about ten museums, four theaters, thirteen parks, a unique Maritime Museum and Dolphinarium. Every year at the end of July there is the Sea Festival, which summons people to Klaipeda from all over Lithuania. It is also famous for the annual International Jazz Festival, the parade of ships on the first day of August to celebrate the city 's birthday.","1. Blood donation.                                                       2. Humanitarian aid to the Ukrainian people.                
3. World environmetal day campaign.

Employee activities:
1.Employees vaccination against flu.
2. Employees vaccination against Covid-19.
3. Organisation of employees periodic testing for covid-19.","Klaipeda is the third largest city and the only port city in Lithuania. Located next to the Baltic Sea it can be characterized as open, international, tolerant and lively place to live and work.","In 1997, a cable braid assembly workshop was established within AB Lietkabelis.                                  In 2007, began cooperation with the company PKC Group.
2010-2014 Production of SCANIA Frame, Roof, Floor, Door, Instrument Panel braids started.
In 2014, the company PKC Group Lithuania was established in Panevėžys.
In 2017, Samvardhana Motherson Group bought PKC Group.
In 2021, PKC Group Lithuania opened a branch in Klaipėda.",,"Vilniaus pl. 10
LT-94178 Klaipėda
Lithuania"
Langfang,China,Vision Systems,,"1 Donate sport equipment to local public school

2 Organise employee clean up the rubbish in the community 
",Info available on SMR website under current location descriptions,Hire new employee from local areas,,"4 Baohai Road
Xianghe Xiandai Industry Park
Xianghe County
Hebei Province
065000 Langfang
China"
Leipzig,Germany,Modules and Polymers,"The automotive and supplier industry plays an important role in the city. Major car makers such as Porsche and BMW have established plants here, thereby strengthening the image of Leipzig as an industrial location. SMP operates a module centre in Leipzig where the final assembly of door panels is carried out. Join our team and help us shape world class vehicles with our products.",,"Known for its book fair, classical music and major car brands
Leipzig is the largest city in the federal state of Saxony and has a population of 575,000. It is of historical importance in the field of letterpress printing, is famous for its music and is an important centre for the automotive industry.
In March each year, the Leipzig Book Fair takes place, which is the second biggest book fair in Germany. More than 2,200 national and international exhibitors come to Leipzig to present the fascinating world of literature. The city is home to one of the oldest universities in Germany, as well as the oldest schools of commerce and music in Germany. The musical tradition of Leipzig dates back to Johann Sebastian Bach and Felix Mendelssohn Bartholdy who both lived and worked in the city.",,,"Dingolfinger Straße 13
04349 Leipzig
Germany"
Lonsdale,Australia,Vision Systems,,Fundraising initiaties are conducted on a monthly basis for various local and national initiatives,Info available on SMR website under current location descriptions,Apprenticeship and Graduate programmes - work with local universities and schools to provide opportunities to people in the local area and State,,"Adelaide, Australia
18 Sherriffs Road
Lonsdale, 5160
South Australia
Australia"
LPR,France,Modules and Polymers,"Located near the forest, at the exit of 2 main express roads. Easy access to a shopping center. Office located in a building proposing a fitness room, a sport association, with a company concierge service and an outdoor terrace",,"Le Plessis-Robinson is a French commune located southwest of Paris. For centuries, Le Plessis-Robinson was just a small village in the Ile-de-France region whose inhabitants, grouped around the church and the castle, made a living from agriculture. The creation of the first guinguettes (music halls) in the middle of the 19th century quickly brought the village into the modern age. Robinson then became a fashionable place attracting a crowd of Parisians on holiday. Then, from the 1920s onwards, the construction of garden cities radically changed the face of Plessis-Robinson, which was transformed into a real town. Today this a dynamic city with many assets for business development.",N/A,,
Martorell,Spain,Modules and Polymers,SMP Martorell is inside the SEAT premises and employs approximately 350 people. Join our team and help us to shape world class vehicles with our products.,"Collection of clothes, basic necessities, food, toys for collaboration with different associations
Motivational contest (photographs, drawing, etc.)
Solidarity races
Social assistance to workers","Industrial village with Roman charm
SMP has three plants located in Martorell, Polinya and Castellbisbal in the province of Barcelona. Martorell is a village that is mainly industrial, with SEAT being the most important company.
Our plant in Martorell has views of Montserrat, a marvellous and magical mountain. The very famous “Puente del Diablo” (Devil’s Bridge) can be found in Martorell, which is a medieval bridge crossing the river Llobregat between the municipalities of Martorell and Castellbisbal. The current bridge, which features a large pointed arch, was constructed in 1283 on Roman foundations. The bridge was destroyed in 1939 during the Spanish civil war by retreating Republican troops, but was rebuilt in 1965. The original Roman bridge formed part of the Via Augusta.
The main attraction of Martorell, Polinya and Castellbisbal in the province of Barcelona is undoubtedly their proximity to the city of Barcelona, which is one of the world's top 10 most visited cities according to Forbes. Barcelona is an open, cosmopolitan city, where social cohesion is a reality. The Catalan capital is also ranked among the best cities in the world for quality of life, safety and equality. It is a city that is easy to live in, a healthy city with a Mediterranean climate, green spaces and locally produced food. Living in Barcelona ensures that you have a good quality of life. There are many neighbourhoods to explore in Barcelona, and in each one there is something to do, visit and enjoy: iconic buildings, markets, parks, treasures of the old city and so on. ","We are specialists in the assembly of the Cockpit.
19 years in the Cockpit. assembly business.
Involved in industry 4.0, with part of automated processes
Committed to the environment and sustainability.
Phone 660.34.67.33 (new).",,"Unit1 Module Center
Ctra. N.II, Km.585 Anexo taller 8 (SEAT)
08760 Martorell
Spain"
Marysville,USA,Vision Systems,,,Info available on SMR website under current location descriptions,,,"1855 Busha Highway,
Marysville, Michigan 48040
United States"
Medina,Spain,Modules and Polymers,"
The Canal de Castilla, is the great work of hydraulic engineering of the 19th century, it constitutes a green route of incalculable historical and environmental value.
Hobbies:
Santiago's road.
Easter.
Routes through the Canal de Castilla, biking, hiking, canoeing...",Program: CSR Corporate Social Responsability (motherson),"Medina, declared a Historic-Artistic Site, the City of the Admirals was populated by Vacceans, Celts, Romans... its moment of greatest splendor coincides with the settlement of the Admirals of Castile in the City in the 15th, 16th and 17th centuries.
Its monuments, churches, convents and museums stand out.
The doors of the old wall (Arco de San Sebastián, Ajújar, and Zamora) and the old corn exchange, a building from the s. XVI, popularly known as ""El Torno"". ",Apprenticeship programme available - work with local schools and colleges to recruit and train young people in the local area.,,"C/Radilla s/n
Medina de Rioseco 47800 
Valladolid
Spain"
Meerane,Germany,Modules and Polymers,"The SMP plant in Meerane is a very young and modern production site with approximately 450 employees. The location specializes in producing interior products such as cockpits, instrument panels and door panels. Join our team and help us to shape world class vehicles with our products.",,"Parks and cars
Meerane is a green city with attractive parks and hiking trails such as the one through the Muldental – a nearby valley of castles.
Meerane is a town close to Zwickau and about an hours’ drive from Leipzig and Dresden. It is a good location to live and work, since it has an important industrial history. For over 100 years it has had a history as a car body production site, meaning that the area is also an important location for suppliers. ",,,"Seiferitzer Allee 36
08393 Meerane"
Michelau,Germany,Modules and Polymers,,,,,,"Siemensstraße 8
96247 Michelau
Germany"
Michelau,Germany,Modules and Polymers,"SMIA Michelau is the second largest employer in the district with approx. 1200 employees. We primarily supply the automotive industry. However, various other industries also appreciate our company as a reliable strategic partner.
Since 1975 has SMIA trained more than 1100 young people completed their education with very good results.
For this SMIA has already been awarded with the title of ""Best Training Company"".
Become part of our team and help us to design world-class vehicles with our products.","SMIA supports socially projects eg. local kindergartens and schools, disability facilities and regional environmental projects","Michelau i. OFr. located in the idyllic Obermain valley is known as a basket maker's community, with about 6300 inhabitants. It is located in the delight region in the north of Bavaria and is centrally located in Upper Franconia. The university cities Bamberg and Coburg can be reached in 30 minutes.
Michelau is a popular hiking and recreation destination due to its wonderful location in the Main valley. Especially recommendable is the German Basket Museum or a hike to the “Staffelberg”.
This mountain cliff is framed by the monastery “Kloster Banz” and the basilica  “Vierzehnheiligen”.",,,
Mosonmagyaróvár,Hungary,Vision Systems,"Welcome to SMR Mosonmagyaróvár 
Originally two separate towns, Moson and Magyaróvár we combined in 1939 to form the city of Mosonmagyaróvár.  The city's historic Baroque buildings, narrow streets, and wooden bridges make Mosonmagyaróvár a picturesque tourist destination.

In addition to its thermal water and thermal baths, Mosonmagyaróvár offers various watersport options for visitors including kayaking, canoeing, and fishing as well as cycling.
SMR Hungary is one of Hungary's leading employers, and is the premier rear-view mirror manufacturer in Hungary. Founded in 2011, SMR is the largest employer in Mosonmagyaróvár, with an energetic, young, and diverse workforce of approximately 700 employees. SMR Hungary values the development of our employees and places an emphasis on developing & promoting talent from within by utilizing training programs and coaching (both internal and external). Come join our team and work in a positive and welcoming atmosphere.
In Hungary our manufacturing plants in Mosonszolnok, Mosonmagyaróvár and our Central Warehouse in Hegyeshalom are close to each other. Commuting to the plants is easy as these locations  are next to the M1 highway.  ","We have sevaral CSR program, that we organize regularly. Charity day, Playground renovation, Bycicle day, Hospital Charity, we support disadvantaged families/children. ",Mosonmagyaróvár :: SMR Automotive (smr-automotive.com),"At SMR Hungary we support the internal promotion system, we support the development of the colleagues with our internal leadership program. We provide flex-time anh 2 days/week Home-office option. ",,"Gyertyán utca 11.
9200 Mosonmagyaróvár
Hungary"
Mosonszolnok,Hungary,Vision Systems,"Welcome to SMR Mosonmagyaróvár 
Originally two separate towns, Moson and Magyaróvár we combined in 1939 to form the city of Mosonmagyaróvár.  The city's historic Baroque buildings, narrow streets, and wooden bridges make Mosonmagyaróvár a picturesque tourist destination.

In addition to its thermal water and thermal baths, Mosonmagyaróvár offers various watersport options for visitors including kayaking, canoeing, and fishing as well as cycling.
SMR Hungary is one of Hungary's leading employers, and is the premier rear-view mirror manufacturer in Hungary. Founded in 2011, SMR is the largest employer in Mosonmagyaróvár, with an energetic, young, and diverse workforce of approximately 700 employees. SMR Hungary values the development of our employees and places an emphasis on developing & promoting talent from within by utilizing training programs and coaching (both internal and external). Come join our team and work in a positive and welcoming atmosphere.
In Hungary our manufacturing plants in Mosonszolnok, Mosonmagyaróvár and our Central Warehouse in Hegyeshalom are close to each other. Commuting to the plants is easy as these locations  are next to the M1 highway.  ","We have sevaral CSR program, that we organize regularly. Charity day, Playground renovation, Bycicle day, Hospital Charity, we support disadvantaged families/children. ","Please use the same text, for Mosonmagyaróvár, Mosonszolnok, and Hegyeshalom  ",,,"Szabadság u. 35
PF 15, 9245 Mosonszolnok
Hungary"
München,Germany,Modules and Polymers,"The most important industry in Munich, in terms of revenue and number of employees, is the automotive industry. Fifty thousand inhabitants are directly employed in the automotive industry. SMP operates an engineering centre in Munich. Join our team and help us shape world class vehicles with our products.",,"One of the best places to live in Germany
Munich is the capital city of Bavaria and is regarded as one of the best places to live in Germany. This comes as no surprise, as the city has so much to offer and there’s something here for everyone.
Just a few of the benefits of living here include: a huge range of diverse attractions, a relaxed beer garden culture and proximity to the mountains. Whether you’re interested in visiting Munich’s museums and impressive historical buildings, its great restaurants and stylish bars, or you fancy a walk in the English Garden or a rafting trip on the Isar River, Munich is a great place to be. Due to its outstanding location, mountain lovers can easily reach the Alps to go hiking in summer and skiing in winter.",,,
Nagoya,Japan,Vision Systems,,,Info available on SMR website under current location descriptions,,,"4F, BPR Place Nagoya Marunouchi
16-4, 1-chome, Marunouchi
Naka-ku
Nagoya 4600002
Japan"
Nashik,India,Vision Systems,,,,,,
Neustadt,Germany,Modules and Polymers,"With about 2000 employees, SMP is the biggest employer in the region. The plant was established in 1986 and produces painted bumpers, rocker panels, door panels and instrumental panels, and other interior parts for the premium automotive industry. Join our team and help us to shape world class vehicles with our products.",,"Medieval flair in the beautiful Danube valley
The historical city of Neustadt is located in Lower Bavaria in the Danube valley between Ingolstadt and Regensburg. The cityscape is characterised by old patrician houses, defence towers, the remaining part of the historical curtain wall that was built in the 12th century and the beautiful Gothic town hall, which gives Neustadt a medieval flair.
The Bad Gögging district, which is almost 2,000 years old and a former Roman spa, is now the only spa in Bavaria where all three natural deposits can be found locally: concentrated sulphur springs, a local moor and valuable mineral and thermal water. The university town of Ingolstadt is the 4th biggest city in Bavaria. It is the “home town” of Audi, whose biggest car factory here.  Regensburg is called ""Florence of the north"" : a fantastic medival city with a large Student community due several universities. ",,,"Umbertshausener Weg 7
93333 Neustadt (Schwaig)
Germany"
Ningbo,China,Vision Systems,,,Info available on SMR website under current location descriptions,,,"Xizhou Industrial Zone
Xiangshan County
Zhejiang Province 315722
China"
Nitra,Slovakia,Modules and Polymers,"Nitra is not only the oldest town of Slovakia, it is now an important economic centre of the western Slovakia, seat of two universities and agricultural education and research, home to several museums,two theaters and galleries with events (Theatre of Nitra or the Musical Spring of Nitra, nation-wide celebration of harvest) and business activities (International agricultural fair Agrokomplex) and many other exhibitions organized at the site. The old town is dominated by the castle, which is one of the most interesting ancient structures in Slovakia. The Dražovce church is a remarkable example of the early Romanesque architecture.Notable religious structures located in Nitra are St. Emmeram's Cathedral in Nitra castle, a Piarist church of St. Ladislaus and the adjacent monastery.  Conveniently located near local shops, school and attractions with well connected transport links. Motherson plant is located in industrial park (10 minutes from city center) on the north of Nitra, well connected with trasport lines 
","In previous years we used to support local Nitra foundations with financial resources to support local schools, cultural institutions and enviromental activies. We were also doing some volunteering work in local schools (painting works)","Nitra is a city in western Slovakia, situated at the foot of Zobor Mountain in the valley of the river Nitra. With a population of about 78,353 it is one of the largest cities in Slovakia. Nitra is also one of the oldest cities in Slovakia. The city is divided into 13 urban districts
The first mention of Nitra dates back to the 9th century. The name of the city is derived from the Nitra river.
Points of interest in the area include the Nitra Castle, the old town and the adjacent hill, named Zobor, overlooking the city. Since 1993, it has also an exhibition of the most precisious artifacts discovered by the Archeological Institute. Nitra is connected to Bratislava, Trnava, Žiar nad Hronom, Zvolen and Banská Bystrica by a freeway. Nitra lies in the humid continental climate with four distinct seasons. Nitra is characterized by a significant variation between hot summers and cold, snowy winters. The city is located in the warmest and driest part of Slovakia. Nitra can offer any kind of meals and food or activities.","Internships available for colleagues or trainees  from other Motherson plants abroad
Apprenticeship programme available - work with local schools and colleges to recruit and train young people in the local area.
",,"Dolné Hony 2
949 01 Nitra
Slovakia"
Noida,India,Vision Systems,,Plantation on World environment day,Info available on SMR website under current location descriptions,Apprenticeship programme available- Work with skill development agencies and train young people,,
Offenau,Germany,Modules and Polymers,"In Offenau, SMP operates a module centre where the final assembly of our products takes place. Join our team and help us shape world class vehicles with our products.",,"In the beautiful Neckar Valley
Offenau is an idyllic village with around 2,700 inhabitants and is situated approximately 15 kilometres from Heilbronn and 70 kilometres from Stuttgart. It is located on the Neckar River.
Offenau is situated in the Neckar Valley, which is a paradise for outdoor athletes. The region offers many great opportunities for outdoor sports - from hiking the steep Neckar trail, to riding along the Neckar Valley bicycle route, to Nordic walking, running or skating. What’s more, you can also visit medieval places of interest, such as imposing historical town halls and impressive aristocratic estates.
There is a whole range of places to visit in the surrounding area. You can visit an exhibition mine situated 200 metres underground or Guttenberg Castle with its fascinating ornithological station for birds of prey.",,,"Talweg 40
74254 Offenau
Germany
"
Oldenburg,Germany,Modules and Polymers,"The SMP plant is one of the largest industry facilities in Oldenburg (directly in the city) and one of the most northerly production plants for SMP. Approximately 440 employees collaborate here to shape our success. Here we produce interior and exterior modules for our international customers such as door panels, instrument panels and bumpers. The highly automated painting facility is one of the most modern of its kind in Germany. Join our team and help us to shape world class vehicles with our products.",See CSR Report,"Bicycles and green cabbage --> Oldenburg Castle?
Just 30 minutes’ drive from the North Sea and part of the metropolitan region of Bremen/Oldenburg, this city on the Hunte river offers everything you can imagine.
With more bicycles than inhabitants it is a lively town to work, study and enjoy life all year round. And you can even learn something special here: Every winter a typical vegetable for this region is the centre of attention - the green kale is so famous that there is even a green kale academy to learn everything about this cabbage.","We have been supplying customers in Emden without interruption since 1987.

plant in the center of the city

long service history (average 18.94 years --> almost 20 years).",,"Rheinstraße 40
26135 Oldenburg
Germany"
Otto Krause,Argentina,Modules and Polymers,The area is attractive for its easy access (two blocks from the Pan-American highway and 5 minutes from the Tortugas Open Mall). The plant is in a strategic location. Just 3 blocks from the Ford and VW plant.,,"El Triángulo is a town in the Malvinas Argentinas district, province of Buenos Aires, Argentina, in the north-central part of Greater Buenos Aires.",We have an apprenticeship agreement with the most important universities in the area,,
Palencia,Spain,Modules and Polymers,"Our location in Palencia with 250 employees is one of the largest automotive suppliers in the region. Here, we produce and assemble large interior and exterior modules for several international car makers in Spain. Join our team and help us to shape world class vehicles with our products.",See in attached PPT (in the mail),"Great food and sports
Palencia is located in a region whose main tourist attractions are mountains, gastronomy, “The Way of Santiago”, Romanesque art, great wineries and the castles trail. As well as the local automotive industry, the economy of Palencia is also focused on food, i.e. coffee companies, biscuits and chocolate. It is in a location with good connections with the capital city of Madrid and the beaches of the north of the country. It has an extensive network of trains, motorways and a nearby airport.​Palencia and its surroundings have been and still are a benchmark in the industrial world, with a high volume of international investments and a high level of exports in both products and knowledge, implementing projects in many parts of the world. There are many leisure activities such as basketball, running, squash and athletics. The sociable nature of the inhabitants of Palencia is worth mentioning, with whom you can share their evenings in the tapas bars with interesting conversation and good wine. ",,,"Sullivan 3131 (Esq. Otto Krause)
Tortuguitas B1667 ACI
Buenos Aires
Argentina"
Palmela,Portugal,Modules and Polymers,"Our location in Palmela, with approximately 210 employees, is one of the largest automotive supply hubs in Portugal. Its highly automated and modern painting facility is particularly well known within the industry. From here we supply several car makers of the region with large exterior modules such as bumpers with a high quality paint finish, and a multitude of integrated electric and decorative components. Join our team and help us to shape world class vehicles with our products.",,"An ideal place to live
Located in the heart of the Lisbon Metropolitan Area, Palmela is the largest municipality on the peninsula of Setúbal with round about 50,000 inhabitants.
Located 20 km from both Lisbon and Setúbal – the district capital, SMP Palmela offers excellent opportunities for professional development, combined with an ideal quality of life among the most developed cities and infrastructures in Portugal.
The town of Palmela, located in the foothills of the Arrábida mountain range, has attracted the people who have passed through the Iberian Peninsula over the centuries. The Region of Palmela is part of the tourism region of Costa Azul. It is believed to have been given its name by the Romans, specifically a praetor called Palma, whereas the Arabs were responsible for building the castle at its highest point, from where it dominates the whole of the area between the Sado and Tagus rivers.
Setúbal Bay is regarded as one of the most beautiful bays in the world (www.world-bays.com). With an average of more than 300 days of sunshine per year, Palmela is an ideal place for living and also one of the best wine regions in Portugal. ",,,"Parque Industrial Autoeuropa
Quinta da Marquesa
2950-557
Quinta Do Anjo
Palmela
Portugal"
